id_deportista, Especialidad, Mejor marca, Mejor torneo, Mejor intento, Peor marca, Peor torneo, Peor intento
214,  carrera 5000 m, 849264.0, Torneo de Norway, 1, 772331.0, Torneo de Nigeria, 1
429,  carrera 400 m con vallas, 50701.0, Torneo de Syria, 1, 46143.0, Torneo de Tajikistan, 1
117,  carrera 400 m con vallas, 50649.0, Torneo de Costa Rica, 1, 46095.0, Torneo de Jamaica, 1
117,  carrera 400 m, 47793.0, Torneo de Iceland, 1, 43453.0, Torneo de United States, 1
547,  salto con pertiga, 667.0, Torneo de Romania, 5, 606.0, Torneo de Slovenia, 8
144,  carrera 800 m, 112072.0, Torneo de Costa Rica, 1, 102076.0, Torneo de Iran, 1
718,  lanzamiento de disco, 7903.0, Torneo de Guatemala, 2, 7186.0, Torneo de Russia, 1
567,  salto largo, 956.0, Torneo de Kenya, 2, 869.0, Torneo de Suriname, 9
120,  carrera 400 m, 47768.0, Torneo de South Sudan, 1, 43454.0, Torneo de Argentina, 1
504,  salto de altura, 261.0, Torneo de Uruguay, 10, 237.0, Torneo de Puerto Rico, 7
729,  lanzamiento de martillo, 8991.0, Torneo de Djibouti, 10, 8174.0, Torneo de Greece, 5
219,  carrera 5000 m, 848625.0, Torneo de Montenegro, 1, 772722.0, Torneo de Guyana, 1
695,  lanzamiento de disco, 7901.0, Torneo de Somalia, 4, 7186.0, Torneo de Qatar, 6
475,  carrera 3000 m con vallas, 528968.0, Torneo de Congo Republic of the, 1, 481045.0, Torneo de Barbados, 1
140,  carrera 1500 m, 229580.0, Torneo de Armenia, 1, 208842.0, Torneo de Mongolia, 1
140,  carrera 800 m, 112066.0, Torneo de Rwanda, 1, 101918.0, Torneo de Barbados, 1
782,  lanzamiento de jabalina, 9962.0, Torneo de Saint Lucia, 5, 9065.0, Torneo de Afghanistan, 8
483,  carrera 3000 m con vallas, 529122.0, Torneo de Belgium, 1, 481149.0, Torneo de Slovakia, 1
55,  carrera 200 m, 21438.0, Torneo de Netherlands, 1, 19501.0, Torneo de Greece, 1
441,  carrera 400 m con vallas, 50685.0, Torneo de Jamaica, 1, 46103.0, Torneo de Dominica, 1
779,  lanzamiento de jabalina, 9968.0, Torneo de Antigua and Barbuda, 5, 9067.0, Torneo de Georgia, 1
662,  lanzamiento de bala, 2516.0, Torneo de Macedonia, 3, 2291.0, Torneo de Solomon Islands, 9
255,  carrera 10000 m, 1768260.0, Torneo de Gabon, 1, 1608532.0, Torneo de Bahamas, 1
129,  carrera 800 m, 111991.0, Torneo de Cuba, 1, 101920.0, Torneo de Vanuatu, 1
530,  salto con pertiga, 667.0, Torneo de Suriname, 1, 606.0, Torneo de Slovakia, 4
631,  salto triple, 1996.0, Torneo de Luxembourg, 9, 1815.0, Torneo de Madagascar, 4
551,  salto con pertiga, 667.0, Torneo de Tonga, 1, 606.0, Torneo de Germany, 5
787,  lanzamiento de jabalina, 9967.0, Torneo de Maldives, 8, 9063.0, Torneo de Portugal, 9
649,  lanzamiento de bala, 2520.0, Torneo de French Guiana, 4, 2293.0, Torneo de Northern Ireland, 5
701,  lanzamiento de disco, 7899.0, Torneo de Sri Lanka, 1, 7187.0, Torneo de Albania, 5
646,  lanzamiento de bala, 2520.0, Torneo de Central African Republic, 1, 2291.0, Torneo de Egypt, 8
476,  carrera 3000 m con vallas, 528861.0, Torneo de South Sudan, 1, 481224.0, Torneo de Sierra Leone, 1
534,  salto con pertiga, 667.0, Torneo de Trinidad and Tobago, 1, 606.0, Torneo de Slovakia, 10
438,  carrera 400 m con vallas, 50701.0, Torneo de Kiribati, 1, 46122.0, Torneo de United States, 1
439,  carrera 400 m con vallas, 50617.0, Torneo de Zambia, 1, 46153.0, Torneo de Ivory Coast, 1
373,  carrera 110 m con vallas, 13305.0, Torneo de Oman, 1, 12104.0, Torneo de Tunisia, 1
770,  lanzamiento de jabalina, 9966.0, Torneo de Eritrea, 3, 9065.0, Torneo de Lithuania, 8
33,  carrera 100 m, 10736.0, Torneo de Sao Tome and Principe, 1, 9760.0, Torneo de United States, 1
132,  carrera 800 m, 111973.0, Torneo de Namibia, 1, 101921.0, Torneo de Somalia, 1
535,  salto con pertiga, 667.0, Torneo de Puerto Rico, 1, 606.0, Torneo de Andorra, 5
380,  carrera 110 m con vallas, 13293.0, Torneo de Nicaragua, 1, 12100.0, Torneo de Luxembourg, 1
605,  salto triple, 1996.0, Torneo de Togo, 6, 1815.0, Torneo de Canada, 4
719,  lanzamiento de disco, 7904.0, Torneo de Yemen, 6, 7187.0, Torneo de Suriname, 3
340,  carrera 42000 m, 8030158.0, Torneo de Japan, 1, 7301667.0, Torneo de Turkey, 1
706,  lanzamiento de disco, 7900.0, Torneo de United States, 5, 7187.0, Torneo de Switzerland, 7
501,  salto de altura, 261.0, Torneo de Uruguay, 8, 237.0, Torneo de Tanzania, 3
780,  lanzamiento de jabalina, 9966.0, Torneo de Ecuador, 8, 9063.0, Torneo de Benin, 8
423,  carrera 400 m con vallas, 50699.0, Torneo de Jordan, 1, 46092.0, Torneo de Sudan, 1
274,  carrera 21000 m, 3828021.0, Torneo de Finland, 1, 3481292.0, Torneo de Sri Lanka, 1
274,  carrera 10000 m, 1768547.0, Torneo de Mauritius, 1, 1608306.0, Torneo de Belarus, 1
185,  carrera 1500 m, 229641.0, Torneo de Comoros, 1, 208809.0, Torneo de Finland, 1
5,  carrera 100 m, 10731.0, Torneo de United States, 1, 9767.0, Torneo de Ecuador, 1
5,  carrera 200 m, 21450.0, Torneo de Brunei, 1, 19508.0, Torneo de Kenya, 1
751,  lanzamiento de martillo, 8990.0, Torneo de Sudan, 4, 8175.0, Torneo de Vanuatu, 1
28,  carrera 100 m, 10722.0, Torneo de Sri Lanka, 1, 9793.0, Torneo de Syria, 1
28,  carrera 200 m, 21444.0, Torneo de Uzbekistan, 1, 19506.0, Torneo de Latvia, 1
619,  salto triple, 1996.0, Torneo de Scotland, 7, 1814.0, Torneo de Belgium, 10
369,  carrera 110 m con vallas, 13308.0, Torneo de South Africa, 1, 12119.0, Torneo de Netherlands, 1
420,  carrera 400 m con vallas, 50696.0, Torneo de South Africa, 1, 46102.0, Torneo de Malawi, 1
277,  carrera 10000 m, 1768515.0, Torneo de Mali, 1, 1609113.0, Torneo de Netherlands, 1
313,  carrera 21000 m, 3825191.0, Torneo de Netherlands, 1, 3481121.0, Torneo de Senegal, 1
313,  carrera 42000 m, 8029156.0, Torneo de Gambia, 1, 7304491.0, Torneo de Azerbaijan, 1
123,  carrera 400 m, 47790.0, Torneo de Colombia, 1, 43484.0, Torneo de Libya, 1
42,  carrera 100 m, 10736.0, Torneo de Russia, 1, 9760.0, Torneo de Guinea-Bissau, 1
42,  carrera 200 m, 21449.0, Torneo de Austria, 1, 19508.0, Torneo de Oman, 1
320,  carrera 21000 m, 3827062.0, Torneo de Virgin Islands (British), 1, 3483042.0, Torneo de Guinea-Bissau, 1
153,  carrera 800 m, 112078.0, Torneo de South Africa, 1, 101954.0, Torneo de Hungary, 1
178,  carrera 1500 m, 229494.0, Torneo de French Guiana, 1, 208951.0, Torneo de Armenia, 1
323,  carrera 21000 m, 3825513.0, Torneo de Moldova, 1, 3481578.0, Torneo de Pakistan, 1
538,  salto con pertiga, 667.0, Torneo de Venezuela, 2, 606.0, Torneo de Saint Vincent and the Grenadines, 4
50,  carrera 200 m, 21446.0, Torneo de Costa Rica, 1, 19508.0, Torneo de Tonga, 1
733,  lanzamiento de martillo, 8988.0, Torneo de El Salvador, 9, 8178.0, Torneo de Comoros, 6
548,  salto con pertiga, 667.0, Torneo de Saudi Arabia, 10, 606.0, Torneo de Saint Kitts and Nevis, 4
514,  salto de altura, 261.0, Torneo de Yemen, 1, 237.0, Torneo de Samoa, 7
95,  carrera 400 m, 47793.0, Torneo de Haiti, 1, 43464.0, Torneo de Belize, 1
485,  salto de altura, 261.0, Torneo de Marshall Islands, 3, 237.0, Torneo de Uruguay, 7
608,  salto triple, 1996.0, Torneo de Cabo Verde, 7, 1815.0, Torneo de Niger, 3
758,  lanzamiento de martillo, 8990.0, Torneo de Iraq, 10, 8175.0, Torneo de Ivory Coast, 2
88,  carrera 400 m, 47791.0, Torneo de Laos, 1, 43461.0, Torneo de Dominica, 1
645,  lanzamiento de bala, 2519.0, Torneo de Ukraine, 6, 2291.0, Torneo de Canada, 7
377,  carrera 110 m con vallas, 13306.0, Torneo de Ivory Coast, 1, 12104.0, Torneo de Nauru, 1
10,  carrera 100 m, 10733.0, Torneo de Virgin Islands (British), 1, 9761.0, Torneo de United States, 1
657,  lanzamiento de bala, 2521.0, Torneo de Mali, 6, 2291.0, Torneo de Vanuatu, 5
465,  carrera 3000 m con vallas, 528477.0, Torneo de Vietnam, 1, 481064.0, Torneo de Saint Lucia, 1
467,  carrera 3000 m con vallas, 529121.0, Torneo de Costa Rica, 1, 481044.0, Torneo de Honduras, 1
225,  carrera 10000 m, 1768146.0, Torneo de Iran, 1, 1608740.0, Torneo de Russia, 1
225,  carrera 5000 m, 849293.0, Torneo de Mongolia, 1, 772162.0, Torneo de Maldives, 1
664,  lanzamiento de bala, 2521.0, Torneo de United States, 7, 2292.0, Torneo de Micronesia, 1
137,  carrera 800 m, 112075.0, Torneo de Zimbabwe, 1, 101895.0, Torneo de Central African Republic, 1
612,  salto triple, 1996.0, Torneo de Suriname, 7, 1814.0, Torneo de Kyrgyzstan, 4
382,  carrera 110 m con vallas, 13304.0, Torneo de Ecuador, 1, 12100.0, Torneo de Dominica, 1
398,  carrera 110 m con vallas, 13304.0, Torneo de Bangladesh, 1, 12129.0, Torneo de Sudan, 1
461,  carrera 3000 m con vallas, 528938.0, Torneo de Suriname, 1, 481061.0, Torneo de Kyrgyzstan, 1
361,  carrera 42000 m, 8027625.0, Torneo de Sweden, 1, 7304007.0, Torneo de Tonga, 1
463,  carrera 3000 m con vallas, 529132.0, Torneo de Mali, 1, 481095.0, Torneo de Germany, 1
241,  carrera 5000 m, 848797.0, Torneo de Dominican Republic, 1, 772231.0, Torneo de Ghana, 1
241,  carrera 3000 m con vallas, 529067.0, Torneo de Scotland, 1, 481056.0, Torneo de Kyrgyzstan, 1
374,  carrera 110 m con vallas, 13308.0, Torneo de Bosnia and Herzegovina, 1, 12102.0, Torneo de Laos, 1
118,  carrera 400 m, 47791.0, Torneo de Cyprus, 1, 43451.0, Torneo de Iraq, 1
261,  carrera 10000 m, 1768428.0, Torneo de Uzbekistan, 1, 1609056.0, Torneo de Monaco, 1
194,  carrera 1500 m, 229647.0, Torneo de Algeria, 1, 208867.0, Torneo de Mongolia, 1
456,  carrera 3000 m con vallas, 529060.0, Torneo de Vatican City, 1, 481207.0, Torneo de Ghana, 1
391,  carrera 110 m con vallas, 13302.0, Torneo de Uganda, 1, 12103.0, Torneo de France, 1
67,  carrera 200 m, 21412.0, Torneo de Latvia, 1, 19518.0, Torneo de Lithuania, 1
506,  salto de altura, 261.0, Torneo de Zimbabwe, 2, 237.0, Torneo de Puerto Rico, 8
414,  carrera 400 m con vallas, 50693.0, Torneo de United States, 1, 46151.0, Torneo de Jamaica, 1
549,  salto con pertiga, 667.0, Torneo de Kenya, 3, 606.0, Torneo de Uganda, 10
786,  lanzamiento de jabalina, 9958.0, Torneo de Finland, 10, 9065.0, Torneo de Nigeria, 2
125,  carrera 800 m, 112075.0, Torneo de Sudan, 1, 101977.0, Torneo de Malta, 1
197,  carrera 1500 m, 229635.0, Torneo de Panama, 1, 209043.0, Torneo de Bhutan, 1
720,  lanzamiento de disco, 7905.0, Torneo de Ethiopia, 3, 7191.0, Torneo de New Zealand, 1
416,  carrera 400 m con vallas, 50625.0, Torneo de Ivory Coast, 1, 46130.0, Torneo de Botswana, 1
370,  carrera 110 m con vallas, 13308.0, Torneo de Belarus, 1, 12098.0, Torneo de Canada, 1
500,  salto de altura, 261.0, Torneo de Senegal, 6, 237.0, Torneo de Virgin Islands (British), 4
594,  salto largo, 956.0, Torneo de Panama, 8, 869.0, Torneo de Singapore, 1
134,  carrera 800 m, 111997.0, Torneo de Poland, 1, 101895.0, Torneo de Germany, 1
201,  carrera 1500 m, 229624.0, Torneo de Equatorial Guinea, 1, 208772.0, Torneo de Oman, 1
670,  lanzamiento de bala, 2521.0, Torneo de Ivory Coast, 8, 2291.0, Torneo de Qatar, 7
570,  salto largo, 956.0, Torneo de India, 1, 869.0, Torneo de Lesotho, 4
360,  carrera 42000 m, 8024020.0, Torneo de Singapore, 1, 7313756.0, Torneo de Luxembourg, 1
707,  lanzamiento de disco, 7903.0, Torneo de Nigeria, 5, 7189.0, Torneo de Zambia, 3
79,  carrera 200 m, 21434.0, Torneo de Zambia, 1, 19503.0, Torneo de Peru, 1
210,  carrera 5000 m, 849023.0, Torneo de Austria, 1, 772709.0, Torneo de Andorra, 1
505,  salto de altura, 261.0, Torneo de Virgin Islands (British), 3, 237.0, Torneo de Puerto Rico, 1
16,  carrera 100 m, 10726.0, Torneo de Morocco, 1, 9766.0, Torneo de Cyprus, 1
402,  carrera 110 m con vallas, 13305.0, Torneo de Niger, 1, 12105.0, Torneo de New Zealand, 1
768,  lanzamiento de jabalina, 9960.0, Torneo de Grenada, 6, 9065.0, Torneo de Lithuania, 4
725,  lanzamiento de disco, 7892.0, Torneo de Sweden, 4, 7192.0, Torneo de Indonesia, 10
642,  salto triple, 1996.0, Torneo de Switzerland, 9, 1814.0, Torneo de Macedonia, 7
774,  lanzamiento de jabalina, 9966.0, Torneo de Poland, 6, 9066.0, Torneo de Malta, 7
508,  salto de altura, 261.0, Torneo de Tajikistan, 6, 237.0, Torneo de United States, 5
490,  salto de altura, 261.0, Torneo de Vietnam, 3, 237.0, Torneo de South Sudan, 6
253,  carrera 10000 m, 1768566.0, Torneo de Vatican City, 1, 1609982.0, Torneo de Montenegro, 1
723,  lanzamiento de disco, 7904.0, Torneo de United Arab Emirates, 5, 7186.0, Torneo de Albania, 8
650,  lanzamiento de bala, 2521.0, Torneo de Jamaica, 2, 2293.0, Torneo de Turkey, 10
80,  carrera 200 m, 21440.0, Torneo de Sao Tome and Principe, 1, 19522.0, Torneo de Guinea-Bissau, 1
139,  carrera 800 m, 112075.0, Torneo de Colombia, 1, 101895.0, Torneo de Yemen, 1
213,  carrera 5000 m, 849223.0, Torneo de Estonia, 1, 773126.0, Torneo de Angola, 1
804,  lanzamiento de jabalina, 9966.0, Torneo de Niger, 5, 9069.0, Torneo de Sudan, 5
328,  carrera 42000 m, 8029944.0, Torneo de Colombia, 1, 7311781.0, Torneo de Palau, 1
497,  salto de altura, 261.0, Torneo de Panama, 5, 237.0, Torneo de Uruguay, 6
13,  carrera 100 m, 10733.0, Torneo de Libya, 1, 9762.0, Torneo de Niger, 1
379,  carrera 110 m con vallas, 13307.0, Torneo de Papua New Guinea, 1, 12099.0, Torneo de Romania, 1
169,  carrera 1500 m, 229448.0, Torneo de Somalia, 1, 208778.0, Torneo de Bosnia and Herzegovina, 1
588,  salto largo, 956.0, Torneo de Sudan, 1, 869.0, Torneo de Venezuela, 2
30,  carrera 100 m, 10733.0, Torneo de Mauritius, 1, 9764.0, Torneo de Canada, 1
145,  carrera 800 m, 112078.0, Torneo de Japan, 1, 101983.0, Torneo de Angola, 1
351,  carrera 42000 m, 8030853.0, Torneo de Tajikistan, 1, 7304817.0, Torneo de Eritrea, 1
553,  salto con pertiga, 667.0, Torneo de Qatar, 9, 606.0, Torneo de Ireland, 4
639,  salto triple, 1994.0, Torneo de Namibia, 1, 1814.0, Torneo de Haiti, 10
528,  salto con pertiga, 667.0, Torneo de Zambia, 8, 606.0, Torneo de Saint Lucia, 9
677,  lanzamiento de bala, 2521.0, Torneo de Bhutan, 3, 2291.0, Torneo de Palau, 7
211,  carrera 5000 m, 849211.0, Torneo de Lebanon, 1, 772143.0, Torneo de Guyana, 1
378,  carrera 110 m con vallas, 13301.0, Torneo de Kosovo, 1, 12106.0, Torneo de Namibia, 1
691,  lanzamiento de disco, 7899.0, Torneo de Nepal, 8, 7188.0, Torneo de Senegal, 10
674,  lanzamiento de bala, 2521.0, Torneo de Honduras, 9, 2291.0, Torneo de Northern Ireland, 3
111,  carrera 400 m, 47793.0, Torneo de Cameroon, 1, 43454.0, Torneo de Niger, 1
234,  carrera 5000 m, 848796.0, Torneo de Haiti, 1, 772275.0, Torneo de Cyprus, 1
610,  salto triple, 1996.0, Torneo de Sweden, 4, 1814.0, Torneo de Turkey, 3
452,  carrera 3000 m con vallas, 529015.0, Torneo de Mozambique, 1, 481040.0, Torneo de Georgia, 1
447,  carrera 3000 m con vallas, 528889.0, Torneo de Kazakhstan, 1, 481168.0, Torneo de Sweden, 1
449,  carrera 3000 m con vallas, 528354.0, Torneo de Turkmenistan, 1, 482078.0, Torneo de Moldova, 1
520,  salto de altura, 261.0, Torneo de Syria, 1, 237.0, Torneo de Singapore, 6
520,  salto largo, 955.0, Torneo de Singapore, 7, 869.0, Torneo de Iceland, 10
113,  carrera 400 m, 47776.0, Torneo de Afghanistan, 1, 43452.0, Torneo de Czechia, 1
375,  carrera 110 m con vallas, 13307.0, Torneo de Tunisia, 1, 12099.0, Torneo de Micronesia, 1
355,  carrera 42000 m, 8030109.0, Torneo de Honduras, 1, 7302153.0, Torneo de Japan, 1
99,  carrera 400 m con vallas, 50676.0, Torneo de Antigua and Barbuda, 1, 46102.0, Torneo de Tuvalu, 1
99,  carrera 400 m, 47769.0, Torneo de Taiwan, 1, 43477.0, Torneo de Estonia, 1
222,  carrera 5000 m, 849132.0, Torneo de Myanmar, 1, 772442.0, Torneo de Saudi Arabia, 1
755,  lanzamiento de martillo, 8992.0, Torneo de Slovenia, 4, 8181.0, Torneo de Chile, 5
160,  carrera 800 m, 111974.0, Torneo de Tunisia, 1, 101940.0, Torneo de Vatican City, 1
390,  carrera 110 m con vallas, 13286.0, Torneo de Georgia, 1, 12100.0, Torneo de Papua New Guinea, 1
11,  carrera 100 m, 10726.0, Torneo de Micronesia, 1, 9764.0, Torneo de Jordan, 1
11,  carrera 200 m, 21448.0, Torneo de Morocco, 1, 19503.0, Torneo de Greece, 1
280,  carrera 10000 m, 1768314.0, Torneo de Netherlands, 1, 1608063.0, Torneo de Luxembourg, 1
151,  carrera 1500 m, 229591.0, Torneo de Liechtenstein, 1, 209050.0, Torneo de Italy, 1
151,  carrera 800 m, 112043.0, Torneo de Pakistan, 1, 101895.0, Torneo de Malawi, 1
252,  carrera 10000 m, 1768556.0, Torneo de Chad, 1, 1609185.0, Torneo de Hungary, 1
1,  carrera 100 m, 10726.0, Torneo de Latvia, 1, 9762.0, Torneo de Philippines, 1
1,  carrera 200 m, 21449.0, Torneo de North Korea, 1, 19505.0, Torneo de South Africa, 1
788,  lanzamiento de jabalina, 9964.0, Torneo de Serbia, 5, 9067.0, Torneo de Russia, 1
344,  carrera 42000 m, 8026649.0, Torneo de Uzbekistan, 1, 7309082.0, Torneo de Mauritania, 1
731,  lanzamiento de martillo, 8991.0, Torneo de Argentina, 9, 8174.0, Torneo de Bangladesh, 10
19,  carrera 100 m, 10728.0, Torneo de Barbados, 1, 9769.0, Torneo de Macedonia, 1
263,  carrera 10000 m, 1766905.0, Torneo de Vatican City, 1, 1610159.0, Torneo de Morocco, 1
269,  carrera 21000 m, 3827938.0, Torneo de Myanmar, 1, 3482665.0, Torneo de Ghana, 1
269,  carrera 10000 m, 1767554.0, Torneo de New Zealand, 1, 1608408.0, Torneo de Mexico, 1
61,  carrera 200 m, 21443.0, Torneo de Malawi, 1, 19504.0, Torneo de Luxembourg, 1
61,  carrera 400 m, 47771.0, Torneo de Trinidad and Tobago, 1, 43457.0, Torneo de South Korea, 1
727,  lanzamiento de martillo, 8988.0, Torneo de Central African Republic, 6, 8174.0, Torneo de Comoros, 1
157,  carrera 800 m, 112032.0, Torneo de Turkmenistan, 1, 101909.0, Torneo de China, 1
204,  carrera 5000 m, 849204.0, Torneo de Sierra Leone, 1, 772121.0, Torneo de Samoa, 1
705,  lanzamiento de disco, 7899.0, Torneo de Gambia, 10, 7189.0, Torneo de Puerto Rico, 4
557,  salto con pertiga, 667.0, Torneo de Myanmar, 10, 606.0, Torneo de Tuvalu, 8
599,  salto largo, 956.0, Torneo de Macedonia, 7, 871.0, Torneo de Slovenia, 10
43,  carrera 200 m, 21423.0, Torneo de Rwanda, 1, 19501.0, Torneo de Denmark, 1
43,  carrera 400 m, 47737.0, Torneo de Guinea-Bissau, 1, 43463.0, Torneo de Ghana, 1
552,  salto con pertiga, 667.0, Torneo de Vatican City, 3, 606.0, Torneo de Slovakia, 1
130,  carrera 800 m, 111994.0, Torneo de Brazil, 1, 102106.0, Torneo de Grenada, 1
8,  carrera 100 m, 10735.0, Torneo de Eritrea, 1, 9760.0, Torneo de Georgia, 1
571,  salto largo, 956.0, Torneo de Scotland, 1, 869.0, Torneo de Madagascar, 4
711,  lanzamiento de disco, 7905.0, Torneo de Zimbabwe, 10, 7188.0, Torneo de Malta, 5
783,  lanzamiento de jabalina, 9967.0, Torneo de Kuwait, 4, 9064.0, Torneo de Norway, 4
527,  salto con pertiga, 667.0, Torneo de Puerto Rico, 10, 606.0, Torneo de Sri Lanka, 4
352,  carrera 42000 m, 8025039.0, Torneo de Lithuania, 1, 7301386.0, Torneo de Guyana, 1
311,  carrera 21000 m, 3828892.0, Torneo de Chile, 1, 3488790.0, Torneo de Guinea, 1
311,  carrera 42000 m, 8023527.0, Torneo de Syria, 1, 7303234.0, Torneo de Gambia, 1
732,  lanzamiento de martillo, 8992.0, Torneo de Iraq, 9, 8177.0, Torneo de Malaysia, 8
472,  carrera 3000 m con vallas, 528970.0, Torneo de Switzerland, 1, 482244.0, Torneo de Solomon Islands, 1
283,  carrera 10000 m, 1767971.0, Torneo de Bahrain, 1, 1609953.0, Torneo de Vietnam, 1
766,  lanzamiento de jabalina, 9959.0, Torneo de Singapore, 6, 9063.0, Torneo de Bolivia, 9
749,  lanzamiento de martillo, 8986.0, Torneo de San Marino, 1, 8175.0, Torneo de Costa Rica, 5
397,  carrera 110 m con vallas, 13295.0, Torneo de Saint Lucia, 1, 12105.0, Torneo de Germany, 1
257,  carrera 10000 m, 1768723.0, Torneo de Moldova, 1, 1608952.0, Torneo de Saint Lucia, 1
512,  salto de altura, 261.0, Torneo de South Africa, 6, 237.0, Torneo de Saudi Arabia, 7
221,  carrera 5000 m, 849067.0, Torneo de Benin, 1, 772938.0, Torneo de Vietnam, 1
493,  salto de altura, 261.0, Torneo de Ukraine, 8, 237.0, Torneo de Turkmenistan, 10
122,  carrera 400 m, 47776.0, Torneo de Laos, 1, 43452.0, Torneo de Brazil, 1
212,  carrera 10000 m, 1768340.0, Torneo de Central African Republic, 1, 1608242.0, Torneo de Cambodia, 1
212,  carrera 5000 m, 847578.0, Torneo de Fiji, 1, 772524.0, Torneo de Kosovo, 1
368,  carrera 110 m con vallas, 13308.0, Torneo de Mauritius, 1, 12113.0, Torneo de Cuba, 1
507,  salto de altura, 261.0, Torneo de Vanuatu, 2, 237.0, Torneo de Maldives, 8
507,  salto largo, 956.0, Torneo de Angola, 7, 869.0, Torneo de Latvia, 10
458,  carrera 3000 m con vallas, 528928.0, Torneo de Nicaragua, 1, 481261.0, Torneo de Seychelles, 1
346,  carrera 42000 m, 8023472.0, Torneo de Australia, 1, 7303206.0, Torneo de Botswana, 1
2,  carrera 100 m, 10736.0, Torneo de Libya, 1, 9760.0, Torneo de Puerto Rico, 1
2,  carrera 200 m, 21444.0, Torneo de South Sudan, 1, 19505.0, Torneo de Serbia, 1
624,  salto triple, 1996.0, Torneo de Bhutan, 8, 1814.0, Torneo de Guyana, 3
791,  lanzamiento de jabalina, 9968.0, Torneo de Syria, 6, 9063.0, Torneo de Equatorial Guinea, 4
176,  carrera 1500 m, 229585.0, Torneo de San Marino, 1, 208788.0, Torneo de Maldives, 1
176,  carrera 10000 m, 1768354.0, Torneo de Slovakia, 1, 1608164.0, Torneo de Kosovo, 1
322,  carrera 21000 m, 3826947.0, Torneo de Scotland, 1, 3482593.0, Torneo de Puerto Rico, 1
440,  carrera 400 m con vallas, 50675.0, Torneo de Cambodia, 1, 46113.0, Torneo de Indonesia, 1
381,  carrera 110 m con vallas, 13307.0, Torneo de Moldova, 1, 12128.0, Torneo de Slovakia, 1
671,  lanzamiento de bala, 2513.0, Torneo de South Sudan, 4, 2291.0, Torneo de Vatican City, 3
622,  salto triple, 1995.0, Torneo de Panama, 7, 1814.0, Torneo de Solomon Islands, 7
444,  carrera 3000 m con vallas, 528674.0, Torneo de New Zealand, 1, 481433.0, Torneo de Italy, 1
746,  lanzamiento de martillo, 8987.0, Torneo de Grenada, 3, 8176.0, Torneo de Malaysia, 2
678,  lanzamiento de bala, 2521.0, Torneo de Wales, 1, 2291.0, Torneo de South Sudan, 6
665,  lanzamiento de bala, 2521.0, Torneo de Czechia, 4, 2291.0, Torneo de Saint Lucia, 8
455,  carrera 3000 m con vallas, 528903.0, Torneo de Chile, 1, 481059.0, Torneo de Venezuela, 1
343,  carrera 42000 m, 8029220.0, Torneo de Panama, 1, 7309791.0, Torneo de Russia, 1
218,  carrera 21000 m, 3826954.0, Torneo de Cambodia, 1, 3484137.0, Torneo de Vatican City, 1
218,  carrera 10000 m, 1768122.0, Torneo de South Korea, 1, 1608510.0, Torneo de Chile, 1
218,  carrera 5000 m, 848824.0, Torneo de Azerbaijan, 1, 772147.0, Torneo de Saint Vincent and the Grenadines, 1
745,  lanzamiento de martillo, 8989.0, Torneo de Rwanda, 6, 8177.0, Torneo de Ukraine, 2
776,  lanzamiento de jabalina, 9965.0, Torneo de India, 8, 9071.0, Torneo de Trinidad and Tobago, 8
697,  lanzamiento de disco, 7905.0, Torneo de Argentina, 3, 7188.0, Torneo de Bulgaria, 7
