Deportista: deportista_697, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Argentina, intento 3  Peor marca: 7188.0 en Torneo de Bulgaria, intento 7
Deportista: deportista_40, Especialidad: carrera 100 m,   Mejor marca: 9761.0 en Torneo de Guinea-Bissau, intento 1  Peor marca: 10736.0 en Torneo de Guyana, intento 1
Deportista: deportista_617, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Myanmar, intento 7  Peor marca: 1814.0 en Torneo de Greece, intento 9
Deportista: deportista_59, Especialidad: carrera 200 m,   Mejor marca: 19502.0 en Torneo de Saint Kitts and Nevis, intento 1  Peor marca: 21429.0 en Torneo de Ethiopia, intento 1
Deportista: deportista_583, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Mauritania, intento 5  Peor marca: 869.0 en Torneo de Zimbabwe, intento 9
Deportista: deportista_804, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Niger, intento 5  Peor marca: 9069.0 en Torneo de Romania, intento 2
Deportista: deportista_202, Especialidad: carrera 1500 m,   Mejor marca: 208920.0 en Torneo de Lesotho, intento 1  Peor marca: 229633.0 en Torneo de Comoros, intento 1
Deportista: deportista_698, Especialidad: lanzamiento de disco,   Mejor marca: 7898.0 en Torneo de Vietnam, intento 8  Peor marca: 7192.0 en Torneo de Tanzania, intento 3
Deportista: deportista_733, Especialidad: lanzamiento de martillo,   Mejor marca: 8988.0 en Torneo de El Salvador, intento 9  Peor marca: 8178.0 en Torneo de Comoros, intento 6
Deportista: deportista_707, Especialidad: lanzamiento de disco,   Mejor marca: 7903.0 en Torneo de Nigeria, intento 5  Peor marca: 7189.0 en Torneo de Solomon Islands, intento 5
Deportista: deportista_438, Especialidad: carrera 400 m con vallas,   Mejor marca: 46122.0 en Torneo de United States, intento 1  Peor marca: 50701.0 en Torneo de Kiribati, intento 1
Deportista: deportista_761, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Spain, intento 8  Peor marca: 8174.0 en Torneo de Equatorial Guinea, intento 6
Deportista: deportista_578, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Saint Vincent and the Grenadines, intento 5  Peor marca: 869.0 en Torneo de Gabon, intento 7
Deportista: deportista_768, Especialidad: lanzamiento de jabalina,   Mejor marca: 9960.0 en Torneo de Grenada, intento 6  Peor marca: 9065.0 en Torneo de Lithuania, intento 4
Deportista: deportista_731, Especialidad: lanzamiento de martillo,   Mejor marca: 8991.0 en Torneo de Argentina, intento 9  Peor marca: 8174.0 en Torneo de Bangladesh, intento 10
Deportista: deportista_359, Especialidad: carrera 42000 m,   Mejor marca: 7311718.0 en Torneo de Congo Republic of the, intento 1  Peor marca: 8030767.0 en Torneo de Andorra, intento 1
Deportista: deportista_725, Especialidad: lanzamiento de disco,   Mejor marca: 7892.0 en Torneo de Sweden, intento 4  Peor marca: 7192.0 en Torneo de Indonesia, intento 10
Deportista: deportista_99, Especialidad: carrera 400 m,   Mejor marca: 43477.0 en Torneo de Estonia, intento 1  Peor marca: 47769.0 en Torneo de Taiwan, intento 1
Deportista: deportista_117, Especialidad: carrera 400 m con vallas,   Mejor marca: 46095.0 en Torneo de Jamaica, intento 1  Peor marca: 50649.0 en Torneo de Costa Rica, intento 1
Deportista: deportista_714, Especialidad: lanzamiento de disco,   Mejor marca: 7903.0 en Torneo de Zimbabwe, intento 8  Peor marca: 7189.0 en Torneo de Latvia, intento 3
Deportista: deportista_159, Especialidad: carrera 800 m,   Mejor marca: 101893.0 en Torneo de Bhutan, intento 1  Peor marca: 111904.0 en Torneo de Tuvalu, intento 1
Deportista: deportista_126, Especialidad: carrera 800 m,   Mejor marca: 101918.0 en Torneo de Netherlands, intento 1  Peor marca: 112019.0 en Torneo de Virgin Islands (British), intento 1
Deportista: deportista_404, Especialidad: carrera 400 m con vallas,   Mejor marca: 46102.0 en Torneo de Israel, intento 1  Peor marca: 50697.0 en Torneo de Ivory Coast, intento 1
Deportista: deportista_462, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481256.0 en Torneo de Australia, intento 1  Peor marca: 529130.0 en Torneo de United Arab Emirates, intento 1
Deportista: deportista_658, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de Burkina Faso, intento 5  Peor marca: 2294.0 en Torneo de Luxembourg, intento 1
Deportista: deportista_570, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de India, intento 1  Peor marca: 869.0 en Torneo de Lesotho, intento 4
Deportista: deportista_117, Especialidad: carrera 400 m,   Mejor marca: 43453.0 en Torneo de United States, intento 1  Peor marca: 47793.0 en Torneo de Iceland, intento 1
Deportista: deportista_147, Especialidad: carrera 800 m,   Mejor marca: 101894.0 en Torneo de Monaco, intento 1  Peor marca: 112077.0 en Torneo de Liberia, intento 1
Deportista: deportista_346, Especialidad: carrera 42000 m,   Mejor marca: 7303206.0 en Torneo de Botswana, intento 1  Peor marca: 8023472.0 en Torneo de Australia, intento 1
Deportista: deportista_626, Especialidad: salto triple,   Mejor marca: 1994.0 en Torneo de Slovenia, intento 2  Peor marca: 1815.0 en Torneo de Oman, intento 6
Deportista: deportista_435, Especialidad: carrera 400 m con vallas,   Mejor marca: 46104.0 en Torneo de Serbia, intento 1  Peor marca: 50693.0 en Torneo de Germany, intento 1
Deportista: deportista_671, Especialidad: lanzamiento de bala,   Mejor marca: 2513.0 en Torneo de South Sudan, intento 4  Peor marca: 2291.0 en Torneo de Brazil, intento 10
Deportista: deportista_560, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Iran, intento 7  Peor marca: 606.0 en Torneo de Antigua and Barbuda, intento 4
Deportista: deportista_157, Especialidad: carrera 800 m,   Mejor marca: 101909.0 en Torneo de China, intento 1  Peor marca: 112032.0 en Torneo de Turkmenistan, intento 1
Deportista: deportista_791, Especialidad: lanzamiento de jabalina,   Mejor marca: 9968.0 en Torneo de Syria, intento 6  Peor marca: 9063.0 en Torneo de Equatorial Guinea, intento 4
Deportista: deportista_605, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Togo, intento 6  Peor marca: 1815.0 en Torneo de Canada, intento 4
Deportista: deportista_520, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Syria, intento 1  Peor marca: 237.0 en Torneo de Bangladesh, intento 8
Deportista: deportista_685, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Saint Kitts and Nevis, intento 3  Peor marca: 7189.0 en Torneo de Austria, intento 8
Deportista: deportista_281, Especialidad: carrera 10000 m,   Mejor marca: 1611081.0 en Torneo de Mexico, intento 1  Peor marca: 1768816.0 en Torneo de Kiribati, intento 1
Deportista: deportista_757, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Italy, intento 1  Peor marca: 8175.0 en Torneo de San Marino, intento 9
Deportista: deportista_305, Especialidad: carrera 21000 m,   Mejor marca: 3482162.0 en Torneo de Brunei, intento 1  Peor marca: 3828690.0 en Torneo de Uzbekistan, intento 1
Deportista: deportista_616, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Malta, intento 10  Peor marca: 1816.0 en Torneo de Cabo Verde, intento 4
Deportista: deportista_418, Especialidad: carrera 400 m con vallas,   Mejor marca: 46099.0 en Torneo de Bahamas, intento 1  Peor marca: 50687.0 en Torneo de Armenia, intento 1
Deportista: deportista_647, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Panama, intento 6  Peor marca: 2291.0 en Torneo de Nigeria, intento 1
Deportista: deportista_635, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Tunisia, intento 9  Peor marca: 1814.0 en Torneo de Philippines, intento 10
Deportista: deportista_102, Especialidad: carrera 400 m,   Mejor marca: 43454.0 en Torneo de Equatorial Guinea, intento 1  Peor marca: 47788.0 en Torneo de Congo Republic of the, intento 1
Deportista: deportista_15, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de Lebanon, intento 1  Peor marca: 10733.0 en Torneo de Uruguay, intento 1
Deportista: deportista_729, Especialidad: lanzamiento de martillo,   Mejor marca: 8991.0 en Torneo de Djibouti, intento 10  Peor marca: 8174.0 en Torneo de Greece, intento 5
Deportista: deportista_473, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481272.0 en Torneo de Tunisia, intento 1  Peor marca: 529080.0 en Torneo de Sweden, intento 1
Deportista: deportista_724, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Jordan, intento 1  Peor marca: 7187.0 en Torneo de Chad, intento 4
Deportista: deportista_232, Especialidad: carrera 21000 m,   Mejor marca: 3481586.0 en Torneo de North Korea, intento 1  Peor marca: 3825784.0 en Torneo de Cuba, intento 1
Deportista: deportista_12, Especialidad: carrera 100 m,   Mejor marca: 9765.0 en Torneo de Burundi, intento 1  Peor marca: 10735.0 en Torneo de Latvia, intento 1
Deportista: deportista_411, Especialidad: carrera 400 m con vallas,   Mejor marca: 46118.0 en Torneo de Vietnam, intento 1  Peor marca: 50697.0 en Torneo de Gambia, intento 1
Deportista: deportista_608, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Cabo Verde, intento 7  Peor marca: 1815.0 en Torneo de Niger, intento 3
Deportista: deportista_92, Especialidad: carrera 400 m con vallas,   Mejor marca: 46107.0 en Torneo de Estonia, intento 1  Peor marca: 50610.0 en Torneo de United States, intento 1
Deportista: deportista_449, Especialidad: carrera 3000 m con vallas,   Mejor marca: 482078.0 en Torneo de Moldova, intento 1  Peor marca: 528354.0 en Torneo de Turkmenistan, intento 1
Deportista: deportista_562, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de United Arab Emirates, intento 7  Peor marca: 606.0 en Torneo de Greece, intento 3
Deportista: deportista_219, Especialidad: carrera 5000 m,   Mejor marca: 772722.0 en Torneo de Guyana, intento 1  Peor marca: 848625.0 en Torneo de Montenegro, intento 1
Deportista: deportista_372, Especialidad: carrera 110 m con vallas,   Mejor marca: 12098.0 en Torneo de Timor-Leste, intento 1  Peor marca: 13306.0 en Torneo de Lesotho, intento 1
Deportista: deportista_674, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Honduras, intento 9  Peor marca: 2291.0 en Torneo de Dominica, intento 5
Deportista: deportista_402, Especialidad: carrera 110 m con vallas,   Mejor marca: 12105.0 en Torneo de New Zealand, intento 1  Peor marca: 13305.0 en Torneo de Niger, intento 1
Deportista: deportista_213, Especialidad: carrera 5000 m,   Mejor marca: 773126.0 en Torneo de Angola, intento 1  Peor marca: 849223.0 en Torneo de Estonia, intento 1
Deportista: deportista_732, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Iraq, intento 9  Peor marca: 8177.0 en Torneo de Malaysia, intento 8
Deportista: deportista_728, Especialidad: lanzamiento de martillo,   Mejor marca: 8991.0 en Torneo de Colombia, intento 8  Peor marca: 8175.0 en Torneo de Nepal, intento 9
Deportista: deportista_165, Especialidad: carrera 5000 m,   Mejor marca: 772184.0 en Torneo de Argentina, intento 1  Peor marca: 849290.0 en Torneo de Colombia, intento 1
Deportista: deportista_113, Especialidad: carrera 400 m,   Mejor marca: 43452.0 en Torneo de Czechia, intento 1  Peor marca: 47776.0 en Torneo de Afghanistan, intento 1
Deportista: deportista_777, Especialidad: lanzamiento de jabalina,   Mejor marca: 9964.0 en Torneo de Cabo Verde, intento 2  Peor marca: 9064.0 en Torneo de Morocco, intento 9
Deportista: deportista_786, Especialidad: lanzamiento de jabalina,   Mejor marca: 9958.0 en Torneo de Finland, intento 10  Peor marca: 9065.0 en Torneo de Nigeria, intento 2
Deportista: deportista_230, Especialidad: carrera 21000 m,   Mejor marca: 3481952.0 en Torneo de Cambodia, intento 1  Peor marca: 3828843.0 en Torneo de Monaco, intento 1
Deportista: deportista_158, Especialidad: carrera 800 m,   Mejor marca: 101933.0 en Torneo de Guyana, intento 1  Peor marca: 111967.0 en Torneo de Armenia, intento 1
Deportista: deportista_539, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Qatar, intento 9  Peor marca: 606.0 en Torneo de Liberia, intento 10
Deportista: deportista_450, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481126.0 en Torneo de French Guiana, intento 1  Peor marca: 528963.0 en Torneo de Maldives, intento 1
Deportista: deportista_599, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de New Zealand, intento 8  Peor marca: 871.0 en Torneo de French Guiana, intento 9
Deportista: deportista_36, Especialidad: carrera 100 m,   Mejor marca: 9763.0 en Torneo de Germany, intento 1  Peor marca: 10734.0 en Torneo de Lesotho, intento 1
Deportista: deportista_287, Especialidad: carrera 21000 m,   Mejor marca: 3483548.0 en Torneo de Suriname, intento 1  Peor marca: 3827918.0 en Torneo de Rwanda, intento 1
Deportista: deportista_155, Especialidad: carrera 1500 m,   Mejor marca: 208805.0 en Torneo de Togo, intento 1  Peor marca: 229610.0 en Torneo de Guinea, intento 1
Deportista: deportista_19, Especialidad: carrera 100 m,   Mejor marca: 9769.0 en Torneo de Macedonia, intento 1  Peor marca: 10728.0 en Torneo de Barbados, intento 1
Deportista: deportista_172, Especialidad: carrera 1500 m,   Mejor marca: 208797.0 en Torneo de United States, intento 1  Peor marca: 229496.0 en Torneo de Argentina, intento 1
Deportista: deportista_184, Especialidad: carrera 1500 m,   Mejor marca: 208771.0 en Torneo de South Sudan, intento 1  Peor marca: 229521.0 en Torneo de Ghana, intento 1
Deportista: deportista_30, Especialidad: carrera 100 m,   Mejor marca: 9764.0 en Torneo de Canada, intento 1  Peor marca: 10733.0 en Torneo de Mauritius, intento 1
Deportista: deportista_755, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Slovenia, intento 4  Peor marca: 8181.0 en Torneo de Chile, intento 5
Deportista: deportista_664, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de United States, intento 7  Peor marca: 2292.0 en Torneo de Micronesia, intento 1
Deportista: deportista_481, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481379.0 en Torneo de Saint Vincent and the Grenadines, intento 1  Peor marca: 529087.0 en Torneo de Bolivia, intento 1
Deportista: deportista_802, Especialidad: lanzamiento de jabalina,   Mejor marca: 9968.0 en Torneo de New Zealand, intento 3  Peor marca: 9064.0 en Torneo de Bangladesh, intento 1
Deportista: deportista_549, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Kenya, intento 3  Peor marca: 606.0 en Torneo de Comoros, intento 9
Deportista: deportista_190, Especialidad: carrera 1500 m,   Mejor marca: 208819.0 en Torneo de Kuwait, intento 1  Peor marca: 229437.0 en Torneo de Bolivia, intento 1
Deportista: deportista_579, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Bangladesh, intento 4  Peor marca: 869.0 en Torneo de Mexico, intento 2
Deportista: deportista_24, Especialidad: carrera 200 m,   Mejor marca: 19507.0 en Torneo de Jamaica, intento 1  Peor marca: 21441.0 en Torneo de Kosovo, intento 1
Deportista: deportista_262, Especialidad: carrera 10000 m,   Mejor marca: 1608971.0 en Torneo de Switzerland, intento 1  Peor marca: 1766456.0 en Torneo de Azerbaijan, intento 1
Deportista: deportista_389, Especialidad: carrera 110 m con vallas,   Mejor marca: 12107.0 en Torneo de Virgin Islands (British), intento 1  Peor marca: 13303.0 en Torneo de Samoa, intento 1
Deportista: deportista_35, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de Vatican City, intento 1  Peor marca: 10726.0 en Torneo de North Korea, intento 1
Deportista: deportista_259, Especialidad: carrera 10000 m,   Mejor marca: 1608516.0 en Torneo de Uruguay, intento 1  Peor marca: 1768095.0 en Torneo de Mali, intento 1
Deportista: deportista_488, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de South Sudan, intento 9  Peor marca: 237.0 en Torneo de Armenia, intento 10
