NombreTipoEspecialidade, IdDeportista, NombreDeportista, NombresEspecialidades
lanzamiento, 780, Elizabeth GLEADLE, lanzamiento de jabalina
lanzamiento, 781, Annika Marie FUCHS, lanzamiento de jabalina
lanzamiento, 782, Yekaterina STARYGINA, lanzamiento de jabalina
lanzamiento, 783, Ariana INCE, lanzamiento de jabalina
lanzamiento, 784, Alexie ALAÏS, lanzamiento de jabalina
lanzamiento, 785, Maria ANDREJCZYK, lanzamiento de jabalina
lanzamiento, 786, Magnus KIRT, lanzamiento de jabalina
lanzamiento, 787, Johannes VETTER, lanzamiento de jabalina
lanzamiento, 788, Andreas HOFMANN, lanzamiento de jabalina
lanzamiento, 789, Edis MATUSEVIČIUS, lanzamiento de jabalina
lanzamiento, 790, Bernhard SEIFERT, lanzamiento de jabalina
lanzamiento, 791, Chao-Tsun CHENG, lanzamiento de jabalina
lanzamiento, 792, Julius YEGO, lanzamiento de jabalina
lanzamiento, 793, Anderson PETERS, lanzamiento de jabalina
lanzamiento, 794, Thomas RÖHLER, lanzamiento de jabalina
lanzamiento, 795, Oliver HELANDER, lanzamiento de jabalina
lanzamiento, 796, Julian WEBER, lanzamiento de jabalina
lanzamiento, 797, Arshad NADEEM, lanzamiento de jabalina
lanzamiento, 798, Shivpal SINGH, lanzamiento de jabalina
lanzamiento, 799, Keshorn WALCOTT, lanzamiento de jabalina
lanzamiento, 800, Kim AMB, lanzamiento de jabalina
lanzamiento, 801, Jakub VADLEJCH, lanzamiento de jabalina
lanzamiento, 802, Marcin KRUKOWSKI, lanzamiento de jabalina
lanzamiento, 803, Dmitriy TARABIN, lanzamiento de jabalina
lanzamiento, 804, Antti RUUSKANEN, lanzamiento de jabalina
lanzamiento, 805, Cyprian MRZYGŁÓD, lanzamiento de jabalina
tiempo, 1, Christian COLEMAN, carrera 100 m, carrera 200 m
tiempo, 2, Noah LYLES, carrera 100 m, carrera 200 m
tiempo, 3, Divine ODUDURU, carrera 100 m, carrera 200 m
tiempo, 4, Justin GATLIN, carrera 100 m
tiempo, 5, Andre DE GRASSE, carrera 100 m, carrera 200 m
tiempo, 6, Cravon GILLESPIE, carrera 100 m, carrera 200 m
tiempo, 7, Akani SIMBINE, carrera 100 m
tiempo, 8, Arthur CISSÉ, carrera 100 m
tiempo, 9, Zharnel HUGHES, carrera 100 m
tiempo, 10, Yohan BLAKE, carrera 100 m
tiempo, 11, Aaron BROWN, carrera 100 m, carrera 200 m
tiempo, 12, Raymond EKEVWO, carrera 100 m
tiempo, 13, Reece PRESCOD, carrera 100 m
tiempo, 14, Abdul Hakim SANI BROWN, carrera 100 m, carrera 200 m
tiempo, 15, Michael RODGERS, carrera 100 m
tiempo, 16, Roberto SKYERS, carrera 100 m
tiempo, 17, Mario BURKE, carrera 100 m, carrera 200 m
tiempo, 18, Yuki KOIKE, carrera 100 m
tiempo, 19, Isiah YOUNG, carrera 100 m
tiempo, 20, Tyquendo TRACEY, carrera 100 m
tiempo, 21, Shelly-Ann FRASER-PRYCE, carrera 100 m, carrera 200 m
tiempo, 22, Elaine THOMPSON, carrera 100 m, carrera 200 m
tiempo, 23, ShaCarri RICHARDSON, carrera 100 m, carrera 200 m
tiempo, 24, Dina ASHER-SMITH, carrera 100 m, carrera 200 m
tiempo, 25, Marie-Josée TA LOU, carrera 100 m, carrera 200 m
tiempo, 26, Kayla WHITE, carrera 100 m, carrera 200 m
tiempo, 27, Twanisha TERRY, carrera 100 m
tiempo, 28, Teahna DANIELS, carrera 100 m, carrera 200 m
tiempo, 29, Mujinga KAMBUNDJI, carrera 100 m, carrera 200 m
tiempo, 30, Carina HORN, carrera 100 m
tiempo, 31, Kiara PARKER, carrera 100 m
tiempo, 32, Briana WILLIAMS, carrera 100 m
tiempo, 33, Murielle AHOURÉ, carrera 100 m
tiempo, 34, Aleia HOBBS, carrera 100 m
tiempo, 35, Kiara GRANT, carrera 100 m
tiempo, 36, Jonielle SMITH, carrera 100 m
tiempo, 37, Tebogo MAMATHU, carrera 100 m
tiempo, 38, Yongli WEI, carrera 100 m
tiempo, 39, Dafne SCHIPPERS, carrera 100 m, carrera 200 m
tiempo, 40, Manqi GE, carrera 100 m
tiempo, 41, Tynia GAITHER, carrera 100 m
tiempo, 42, Blessing OKAGBARE, carrera 100 m, carrera 200 m
tiempo, 43, Shaunae MILLER-UIBO, carrera 200 m, carrera 400 m
tiempo, 47, Anglerne ANNELUS, carrera 200 m
tiempo, 50, Brittany BROWN, carrera 200 m
tiempo, 53, Cambrea STURGIS, carrera 200 m
tiempo, 54, Janeek BROWN, carrera 110 m con vallas, carrera 200 m
tiempo, 55, Amy HUNT, carrera 200 m
tiempo, 57, Ivet LALOVA-COLLIO, carrera 200 m
tiempo, 58, Dezerea BRYANT, carrera 200 m
tiempo, 59, Beth DOBBIN, carrera 200 m
tiempo, 61, Salwa Eid NASER, carrera 200 m, carrera 400 m
tiempo, 64, Michael NORMAN, carrera 200 m, carrera 400 m
tiempo, 66, Kenneth BEDNAREK, carrera 200 m, carrera 400 m
tiempo, 67, Ramil GULIYEV, carrera 200 m
tiempo, 68, Alex QUIÑÓNEZ, carrera 200 m
tiempo, 70, Zhenye XIE, carrera 200 m
tiempo, 74, Miguel FRANCIS, carrera 200 m
tiempo, 75, Alex WILSON, carrera 200 m
tiempo, 76, Adam GEMILI, carrera 200 m
tiempo, 77, Steven GARDINER, carrera 200 m, carrera 400 m
tiempo, 78, Andrew HUDSON, carrera 200 m
tiempo, 79, Clarence MUNYAI, carrera 200 m
tiempo, 80, Bernardo BALOYES, carrera 200 m
tiempo, 81, Joseph Paul AMOAH, carrera 200 m
tiempo, 86, Fred KERLEY, carrera 400 m
tiempo, 87, Anthony José ZAMBRANO, carrera 400 m
tiempo, 88, Kahmari MONTGOMERY, carrera 400 m
tiempo, 89, Kirani JAMES, carrera 400 m
tiempo, 90, Trevor STEWART, carrera 400 m
tiempo, 91, Nathan STROTHER, carrera 400 m
tiempo, 92, Rai BENJAMIN, carrera 400 m, carrera 400 m con vallas
tiempo, 93, Emmanuel Kipkurui KORIR, carrera 400 m, carrera 800 m
tiempo, 94, Akeem BLOOMFIELD, carrera 400 m
tiempo, 95, Vernon NORWOOD, carrera 400 m
tiempo, 96, Machel CEDENIO, carrera 400 m
tiempo, 97, ​Demish GAYE, carrera 400 m
tiempo, 98, Quincy HALL, carrera 400 m, carrera 400 m con vallas
tiempo, 99, Abderrahman SAMBA, carrera 400 m, carrera 400 m con vallas
tiempo, 100, Wilbert LONDON, carrera 400 m
tiempo, 101, Jonathan JONES, carrera 400 m
tiempo, 102, Michael CHERRY, carrera 400 m
tiempo, 106, Aminatou SEYNI, carrera 400 m
tiempo, 107, Shericka JACKSON, carrera 400 m
tiempo, 108, Wadeline JONATHAS, carrera 400 m
tiempo, 109, Phyllis FRANCIS, carrera 400 m
tiempo, 110, Shakima WIMBLEY, carrera 400 m
tiempo, 111, Kendall ELLIS, carrera 400 m
tiempo, 112, Christine BOTLOGETSWE, carrera 400 m
tiempo, 113, Galefele MOROKO, carrera 400 m
tiempo, 114, Dalilah MUHAMMAD, carrera 400 m, carrera 400 m con vallas
tiempo, 115, Chrisann GORDON, carrera 400 m
tiempo, 116, Stephenie Ann MCPHERSON, carrera 400 m
tiempo, 117, Sydney MCLAUGHLIN, carrera 400 m, carrera 400 m con vallas
tiempo, 118, Courtney OKOLO, carrera 400 m
tiempo, 119, Laviai NIELSEN, carrera 400 m
tiempo, 120, Justyna ŚWIĘTY-ERSETIC, carrera 400 m
tiempo, 121, Anastasia LE-ROY, carrera 400 m
tiempo, 122, Sharrika BARNETT, carrera 400 m
tiempo, 123, Chloe ABBOTT, carrera 400 m
tiempo, 124, Nijel AMOS, carrera 800 m
tiempo, 125, Donavan BRAZIER, carrera 800 m
tiempo, 126, Ferguson Cheruiyot ROTICH, carrera 800 m
tiempo, 127, Timothy CHERUIYOT, carrera 1500 m, carrera 800 m
tiempo, 128, Amel TUKA, carrera 800 m
tiempo, 129, Wyclife KINYAMAL, carrera 800 m
tiempo, 130, Brandon MCBRIDE, carrera 800 m
tiempo, 132, Michael SARUNI, carrera 800 m
tiempo, 133, Marcin LEWANDOWSKI, carrera 1500 m, carrera 800 m
tiempo, 134, Wesley VÁZQUEZ, carrera 800 m
tiempo, 135, Cornelius TUWEI, carrera 800 m
tiempo, 136, Clayton MURPHY, carrera 800 m
tiempo, 137, Marco AROP, carrera 800 m
tiempo, 138, Bryce HOPPEL, carrera 800 m
tiempo, 139, Abubaker Haydar ABDALLA, carrera 800 m
tiempo, 140, Ayanleh SOULEIMAN, carrera 1500 m, carrera 800 m
tiempo, 141, Collins KIPRUTO, carrera 800 m
tiempo, 142, Jonathan KITILIT, carrera 800 m
tiempo, 143, Alfred KIPKETER, carrera 800 m
tiempo, 144, Caster SEMENYA, carrera 800 m
tiempo, 145, Ajee WILSON, carrera 800 m
tiempo, 146, Francine NIYONSABA, carrera 800 m
tiempo, 147, Natoya GOULE, carrera 800 m
tiempo, 148, Halimah NAKAAYI, carrera 800 m
tiempo, 149, Raevyn ROGERS, carrera 800 m
tiempo, 150, Hanna GREEN, carrera 800 m
tiempo, 151, Laura MUIR, carrera 1500 m, carrera 800 m
tiempo, 152, Lynsey SHARP, carrera 800 m
tiempo, 153, Catriona BISSET, carrera 800 m
tiempo, 154, Jackline WAMBUI, carrera 800 m
tiempo, 155, Winnie NANYONDO, carrera 1500 m, carrera 800 m
tiempo, 156, Eunice Jepkoech SUM, carrera 800 m
tiempo, 157, Nelly JEPKOSGEI, carrera 800 m
tiempo, 158, Rose Mary ALMANZA, carrera 800 m
tiempo, 159, Natalya PRYSHCHEPA, carrera 800 m
tiempo, 160, Olha LYAKHOVA, carrera 800 m
tiempo, 161, Emily Cherotich TUEI, carrera 800 m
tiempo, 162, Habitam ALEMU, carrera 800 m
tiempo, 163, Kate GRACE, carrera 800 m
tiempo, 165, Jakob INGEBRIGTSEN, carrera 1500 m, carrera 5000 m
tiempo, 166, Ronald MUSAGALA, carrera 1500 m
tiempo, 167, Charlie DAVALL GRICE, carrera 1500 m
tiempo, 169, Filip INGEBRIGTSEN, carrera 1500 m
tiempo, 170, Taoufik MAKHLOUFI, carrera 1500 m
tiempo, 171, Samuel TEFERA, carrera 1500 m
tiempo, 172, Bethwell BIRGEN, carrera 1500 m
tiempo, 174, George Meitamei MANANGOI, carrera 1500 m
tiempo, 175, Abdelaati IGUIDER, carrera 1500 m
tiempo, 176, Stewart MCSWEYN, carrera 10000 m, carrera 1500 m
tiempo, 177, Jake WIGHTMAN, carrera 1500 m
tiempo, 178, Elijah Motonei MANANGOI, carrera 1500 m
tiempo, 179, Josh KERR, carrera 1500 m
tiempo, 180, Ronald KWEMOI, carrera 1500 m
tiempo, 181, Matthew CENTROWITZ, carrera 1500 m, carrera 5000 m
tiempo, 182, Rabii DOUKKANA, carrera 1500 m
tiempo, 183, Vincent KIBET, carrera 1500 m
tiempo, 184, Sifan HASSAN, carrera 10000 m, carrera 1500 m, carrera 21000 m, carrera 5000 m
tiempo, 185, Faith KIPYEGON, carrera 1500 m
tiempo, 186, Gudaf TSEGAY, carrera 1500 m
tiempo, 187, Shelby HOULIHAN, carrera 1500 m
tiempo, 188, Genzebe DIBABA, carrera 1500 m
tiempo, 190, Gabriela DEBUES-STAFFORD, carrera 1500 m, carrera 5000 m
tiempo, 191, Winny CHEBET, carrera 1500 m
tiempo, 192, Jenny SIMPSON, carrera 1500 m
tiempo, 193, Rababe ARAFI, carrera 1500 m
tiempo, 194, Axumawit EMBAYE, carrera 1500 m
tiempo, 195, Konstanze KLOSTERHALFEN, carrera 1500 m, carrera 5000 m
tiempo, 197, Ciara MAGEEAN, carrera 1500 m
tiempo, 198, Sarah MCDONALD, carrera 1500 m
tiempo, 199, Laura WEIGHTMAN, carrera 1500 m, carrera 5000 m
tiempo, 200, Eilish MCCOLGAN, carrera 1500 m, carrera 5000 m
tiempo, 201, Dawit SEYAUM, carrera 1500 m
tiempo, 202, Nikki HILTZ, carrera 1500 m
tiempo, 203, Shannon OSIKA, carrera 1500 m
tiempo, 204, Telahun Haile BEKELE, carrera 5000 m
tiempo, 205, Selemon BAREGA, carrera 10000 m, carrera 5000 m
tiempo, 206, Hagos GEBRHIWET, carrera 10000 m, carrera 5000 m
tiempo, 207, Birhanu BALEW, carrera 5000 m
tiempo, 208, Abadi HADIS, carrera 10000 m, carrera 21000 m, carrera 5000 m
tiempo, 209, Joshua CHEPTEGEI, carrera 10000 m, carrera 5000 m
tiempo, 210, Nicholas Kipkorir KIMELI, carrera 5000 m
tiempo, 211, William KINCAID, carrera 5000 m
tiempo, 212, Mohammed AHMED, carrera 10000 m, carrera 5000 m
tiempo, 213, Muktar EDRIS, carrera 5000 m
tiempo, 214, Lopez LOMONG, carrera 10000 m, carrera 5000 m
tiempo, 216, Yomif KEJELCHA, carrera 10000 m, carrera 21000 m, carrera 5000 m
tiempo, 218, Solomon BERIHU, carrera 10000 m, carrera 21000 m, carrera 5000 m
tiempo, 219, Jacob KROP, carrera 5000 m
tiempo, 220, Edward Zakayo PINGUA, carrera 5000 m
tiempo, 221, Edward CHESEREK, carrera 5000 m
tiempo, 222, Paul CHELIMO, carrera 5000 m
tiempo, 223, Stanley Waithaka MBURU, carrera 5000 m
tiempo, 224, Hellen OBIRI, carrera 10000 m, carrera 5000 m
tiempo, 225, Agnes Jebet TIROP, carrera 10000 m, carrera 5000 m
tiempo, 228, Margaret Chelimo KIPKEMBOI, carrera 5000 m
tiempo, 229, Letesenbet GIDEY, carrera 10000 m, carrera 5000 m
tiempo, 230, Tsehay GEMECHU, carrera 10000 m, carrera 21000 m, carrera 5000 m
tiempo, 231, Lilian Kasait RENGERUK, carrera 5000 m
tiempo, 232, Caroline Chepkoech KIPKIRUI, carrera 21000 m, carrera 5000 m
tiempo, 233, Hawi FEYSA, carrera 5000 m
tiempo, 234, Eva CHERONO, carrera 5000 m
tiempo, 235, Fantu WORKU, carrera 5000 m
tiempo, 238, Karissa SCHWEIZER, carrera 5000 m
tiempo, 239, Beatrice CHEBET, carrera 5000 m
tiempo, 241, Beatrice CHEPKOECH, carrera 3000 m con vallas, carrera 5000 m
tiempo, 242, Gloriah KITE, carrera 5000 m
tiempo, 243, Karoline Bjerkeli GRØVDAL, carrera 3000 m con vallas, carrera 5000 m
tiempo, 247, Rosemary Monica WANJIRU, carrera 10000 m
tiempo, 249, Netsanet GUDETA, carrera 10000 m, carrera 21000 m
tiempo, 250, Senbere TEFERI, carrera 10000 m, carrera 21000 m
tiempo, 251, Zeineba YIMER, carrera 10000 m, carrera 21000 m, carrera 42000 m
tiempo, 252, Emily SISSON, carrera 10000 m
tiempo, 253, Dera DIDA, carrera 10000 m
tiempo, 255, Gete ALEMAYEHU, carrera 10000 m
tiempo, 256, Girmawit GEBRZIHAIR, carrera 10000 m
tiempo, 257, Tsigie GEBRESELAMA, carrera 10000 m
tiempo, 258, Molly HUDDLE, carrera 10000 m
tiempo, 259, Yasemin CAN, carrera 10000 m
tiempo, 260, Degitu AZIMERAW, carrera 10000 m, carrera 21000 m, carrera 42000 m
tiempo, 261, Susan KRUMINS, carrera 10000 m
tiempo, 262, Marielle HALL, carrera 10000 m
tiempo, 263, Stephanie TWELL, carrera 10000 m
tiempo, 268, Rhonex KIPRUTO, carrera 10000 m
tiempo, 269, Andamlak BELIHU, carrera 10000 m, carrera 21000 m
tiempo, 270, Jemal Yimer MEKONNEN, carrera 10000 m, carrera 21000 m
tiempo, 271, Rodgers KWEMOI, carrera 10000 m
tiempo, 274, Berehanu TSEGU, carrera 10000 m, carrera 21000 m
tiempo, 277, Yemaneberhan CRIPPA, carrera 10000 m
tiempo, 278, Julien WANDERS, carrera 10000 m, carrera 21000 m
tiempo, 279, Tamirat TOLA, carrera 10000 m
tiempo, 280, Abdallah Kibet MANDE, carrera 10000 m
tiempo, 281, Mogos TUEMAY, carrera 10000 m
tiempo, 283, Vincent Kiprotich KIBET, carrera 10000 m
tiempo, 284, Geoffrey KAMWOROR, carrera 21000 m
tiempo, 285, Stephen KIPROP, carrera 21000 m
tiempo, 287, Bedan KAROKI, carrera 21000 m
tiempo, 289, Benard KIMELI, carrera 21000 m
tiempo, 291, Fikadu HAFTU, carrera 21000 m
tiempo, 292, Felix KIBITOK, carrera 21000 m
tiempo, 294, Leonard BARSOTON, carrera 21000 m
tiempo, 297, Seifu TURA, carrera 21000 m
tiempo, 299, Morris Munene GACHAGA, carrera 21000 m
tiempo, 301, Edwin KIPTOO, carrera 21000 m
tiempo, 302, Leonard LANGAT, carrera 21000 m
tiempo, 303, Kibiwott KANDIE, carrera 21000 m
tiempo, 304, Brigid KOSGEI, carrera 21000 m, carrera 42000 m
tiempo, 305, Ruth CHEPNGETICH, carrera 21000 m, carrera 42000 m
tiempo, 311, Birhane DIBABA, carrera 21000 m, carrera 42000 m
tiempo, 313, Roza DEREJE, carrera 21000 m, carrera 42000 m
tiempo, 314, Yalemzerf YEHUALAW, carrera 21000 m
tiempo, 316, Lonah Chemtai SALPETER, carrera 21000 m, carrera 42000 m
tiempo, 317, Joan Chelimo MELLY, carrera 21000 m
tiempo, 318, Valary JEMELI, carrera 21000 m, carrera 42000 m
tiempo, 319, Evaline CHIRCHIR, carrera 21000 m
tiempo, 320, Dorcas Jepchirchir TUITOEK, carrera 21000 m
tiempo, 321, Vivian J. CHERUIYOT, carrera 21000 m, carrera 42000 m
tiempo, 322, Alemu MEGERTU, carrera 21000 m
tiempo, 323, Dibabe KUMA, carrera 21000 m
tiempo, 326, Worknesh DEGEFA, carrera 42000 m
tiempo, 328, Azmera ABREHA, carrera 42000 m
tiempo, 336, Ashete BEKERE, carrera 42000 m
tiempo, 337, Mare DIBABA, carrera 42000 m
tiempo, 338, Workenesh EDESA, carrera 42000 m
tiempo, 339, Purity Cherotich RIONORIPO, carrera 42000 m
tiempo, 340, Ruti AGA, carrera 42000 m
tiempo, 341, Azmera GEBRU, carrera 42000 m
tiempo, 342, Ababel YESHANEH, carrera 42000 m
tiempo, 343, Gladys CHERONO, carrera 42000 m
tiempo, 344, Kenenisa BEKELE, carrera 42000 m
tiempo, 345, Eliud KIPCHOGE, carrera 42000 m
tiempo, 346, Birhanu LEGESE, carrera 42000 m
tiempo, 347, Mosinet GEREMEW, carrera 42000 m
tiempo, 348, Mule WASIHUN, carrera 42000 m
tiempo, 349, Getaneh MOLLA, carrera 42000 m
tiempo, 350, Sisay LEMMA, carrera 42000 m
tiempo, 351, Herpasa NEGASA, carrera 42000 m
tiempo, 352, Kinde ATANAW, carrera 42000 m
tiempo, 353, Marius KIPSEREM, carrera 42000 m
tiempo, 354, Kaan Kigen ÖZBILEN, carrera 42000 m
tiempo, 355, Asefa MENGSTU, carrera 42000 m
tiempo, 356, Reuben Kiprop KIPYEGO, carrera 42000 m
tiempo, 357, Guye Idemo ADOLA, carrera 42000 m
tiempo, 358, Titus EKIRU, carrera 42000 m
tiempo, 359, Abebe Negewo DEGEFA, carrera 42000 m
tiempo, 360, Evans CHEBET, carrera 42000 m
tiempo, 361, Philemon RONO, carrera 42000 m
tiempo, 362, Shura KITATA, carrera 42000 m
tiempo, 363, Emmanuel SAINA, carrera 42000 m
