"nombre","especialidad","mejor_marca","peor_marca"
"Nadine MÜLLER","lanzamiento de disco","7903","7187"
"Hleb DUDARAU","lanzamiento de martillo","8988","8178"
"Özkan BALTACI","lanzamiento de martillo","8990","8175"
"Gwen BERRY","lanzamiento de martillo","8979","8174"
"Selemon BAREGA","carrera 10000 m","1608319","1768601"
"Tim NEDOW","lanzamiento de bala","2521","2292"
"Emmanuel Kipkurui KORIR","carrera 400 m","43498","47765"
"Filip MIHALJEVIĆ","lanzamiento de bala","2520","2291"
"Simon PETTERSSON","lanzamiento de disco","7898","7192"
"Zalina PETRIVSKAYA","lanzamiento de martillo","8992","8175"
"Muktar EDRIS","carrera 5000 m","773126","849223"
"Collins KIPRUTO","carrera 800 m","101906","112056"
"Mateusz PRZYBYLKO","salto de altura","261","237"
"Naa ANANG","salto largo","956","869"
"Eivind HENRIKSEN","lanzamiento de martillo","8992","8180"
"Joshua CHEPTEGEI","carrera 10000 m","1609174","1766586"
"Felix KIBITOK","carrera 21000 m","3482012","3826570"
"Mélina ROBERT-MICHON","lanzamiento de disco","7903","7186"
"Sydney MCLAUGHLIN","carrera 400 m con vallas","46095","50649"
"Asefa MENGSTU","carrera 42000 m","7302153","8030109"
"Lauren WELLS","carrera 400 m con vallas","46100","50698"
"Winny CHEBET","carrera 1500 m","208809","229539"
"Valary JEMELI","carrera 42000 m","7303454","8026066"
"Yelizaveta TSAREVA","lanzamiento de martillo","8990","8175"
"Liveta JASIŪNAITĖ","lanzamiento de jabalina","9964","9064"
"Ramil GULIYEV","carrera 200 m","19518","21412"
"Shaunae MILLER-UIBO","carrera 400 m","43463","47737"
"Anglerne ANNELUS","carrera 200 m","19506","21433"
"Reuben Kiprop KIPYEGO","carrera 42000 m","7302147","8030629"
"Denis LUKYANOV","lanzamiento de martillo","8980","8180"
"Raphael HOLZDEPPE","salto con pertiga","667","606"
"Jonathan JONES","carrera 400 m","43455","47794"
"Chala BEYO","carrera 3000 m con vallas","481040","529015"
"Gloriah KITE","carrera 5000 m","772318","849207"
"Patryk DOBEK","carrera 400 m con vallas","46106","50679"
"Blessing OKAGBARE","carrera 200 m","19508","21449"
"Yomif KEJELCHA","carrera 5000 m","772725","848818"
"Zita KÁCSER","carrera 3000 m con vallas","481149","529122"
"Majd Eddin GHAZAL","salto de altura","261","237"
"Donald SCOTT","salto triple","1995","1814"
"Angelica BENGTSSON","salto con pertiga","667","606"
"Malwina KOPRON","lanzamiento de martillo","8992","8175"
"Twanisha TERRY","carrera 100 m","9769","10734"
"Aminat JAMAL","carrera 400 m con vallas","46108","50698"
"Jonielle SMITH","carrera 100 m","9763","10734"
"Will CLAYE","salto largo","956","870"
"Serhiy PEREVOZNIKOV","lanzamiento de martillo","8992","8174"
"Sifan HASSAN","carrera 10000 m","1608968","1766874"
"Marie-Josée TA LOU","carrera 100 m","9760","10732"
"Degitu AZIMERAW","carrera 10000 m","1610703","1768348"
"Eilish MCCOLGAN","carrera 5000 m","772270","848915"
"Shane BRATHWAITE","carrera 110 m con vallas","12128","13307"
"Purity Cherotich RIONORIPO","carrera 42000 m","7303553","8031054"
"Lamecha GIRMA","carrera 3000 m con vallas","481078","528818"
"Matthew HUGHES","carrera 3000 m con vallas","481095","529132"
"Nelly JEPKOSGEI","carrera 800 m","101909","112032"
"Hagos GEBRHIWET","carrera 5000 m","772664","848703"
"Margaret Chelimo KIPKEMBOI","carrera 5000 m","772274","849119"
"Letesenbet GIDEY","carrera 5000 m","772303","849287"
"Caroline Chepkoech KIPKIRUI","carrera 5000 m","772171","849044"
"Colleen QUIGLEY","carrera 3000 m con vallas","481375","529033"
"Rachel FATHERLY","lanzamiento de bala","2519","2291"
"Emily Cherotich TUEI","carrera 800 m","101999","112070"
"Lonah Chemtai SALPETER","carrera 42000 m","7310801","8030831"
"Mohammed AHMED","carrera 10000 m","1608242","1768340"
"Hugues Fabrice ZANGO","salto triple","1994","1816"
"Piotr LISEK","salto con pertiga","667","606"
"Andrew RILEY","carrera 110 m con vallas","12100","13304"
"Brandon MCBRIDE","carrera 800 m","102106","111994"
"Conseslus KIPRUTO","carrera 3000 m con vallas","481433","528674"
"Amy HUNT","carrera 200 m","19501","21438"
"Karoline Bjerkeli GRØVDAL","carrera 3000 m con vallas","481175","529133"
"Emma COBURN","carrera 3000 m con vallas","481064","528477"
"Fernando CARRO","carrera 3000 m con vallas","481126","528963"
"Alexsandro MELO","salto triple","1995","1814"
"Steven GARDINER","carrera 400 m","43453","47789"
"Sofiya PALKINA","lanzamiento de martillo","8984","8175"
"Salwa Eid NASER","carrera 200 m","19504","21443"
"Ayanleh SOULEIMAN","carrera 1500 m","208842","229580"
"Aminatou SEYNI","carrera 400 m","43484","47772"
"Abdelaati IGUIDER","carrera 1500 m","208795","229640"
"Agnes Jebet TIROP","carrera 5000 m","772162","849293"
"María Fernanda MURILLO","salto de altura","261","237"
"Katerina STEFANIDI","salto con pertiga","667","606"
"Keshorn WALCOTT","lanzamiento de jabalina","9959","9061"
"Michael NORMAN","carrera 400 m","43455","47793"
"Ilya IVANYUK","salto de altura","261","237"
"Emily GROVE","salto con pertiga","667","606"
"Tsehay GEMECHU","carrera 10000 m","1608234","1767171"
"Shakima WIMBLEY","carrera 400 m","43458","47781"
"Leonard BARSOTON","carrera 21000 m","3484102","3827516"
"Wojciech NOWICKI","lanzamiento de martillo","8992","8177"
"Takatoshi ABE","carrera 400 m con vallas","46116","50692"
"Abdul Hakim SANI BROWN","carrera 200 m","19515","21450"
"Katarina JOHNSON-THOMPSON","salto largo","955","869"
"Shelby MCEWEN","salto de altura","261","237"
"Jake WIGHTMAN","carrera 1500 m","208828","229574"
"Chengetayi MAPAYA","salto triple","1996","1814"
"Gabriel CONSTANTINO","carrera 110 m con vallas","12098","13306"
"Titus EKIRU","carrera 42000 m","7303429","8026434"
"Dmitriy TARABIN","lanzamiento de jabalina","9963","9085"
"Sondre GUTTORMSEN","salto con pertiga","667","606"
"Michał HARATYK","lanzamiento de bala","2521","2293"
"Clayton MURPHY","carrera 800 m","101925","112059"
"Quentin BIGOT","lanzamiento de martillo","8986","8182"
"Rababe ARAFI","carrera 1500 m","208782","229647"
"Ivet LALOVA-COLLIO","carrera 200 m","19504","21446"
"Na LUO","lanzamiento de martillo","8990","8180"
"Daisy JEPKEMEI","carrera 3000 m con vallas","481060","528623"
"Murielle AHOURÉ","carrera 100 m","9760","10736"
"Djilali BEDRANI","carrera 3000 m con vallas","482078","528354"
"Sandi MORRIS","salto con pertiga","667","606"
"Kirani JAMES","carrera 400 m","43494","47772"
"Senbere TEFERI","carrera 10000 m","1608244","1768606"
"Kristin PUDENZ","lanzamiento de disco","7905","7187"
"Abdallah Kibet MANDE","carrera 10000 m","1608063","1768314"
"Hanna SKYDAN","lanzamiento de martillo","8989","8174"
"Christian COLEMAN","carrera 200 m","19505","21449"
"Chao-Tsun CHENG","lanzamiento de jabalina","9968","9063"
"Christopher NILSEN","salto con pertiga","667","606"
"Elaine THOMPSON","carrera 100 m","9761","10732"
"Bernardo BALOYES","carrera 200 m","19522","21440"
"George Meitamei MANANGOI","carrera 1500 m","208809","229624"
"Payton CHADWICK","carrera 110 m con vallas","12098","13305"
"Yekaterina KONEVA","salto triple","1995","1814"
"Berehanu TSEGU","carrera 10000 m","1608306","1768547"
"Yosiris URRUTIA","salto triple","1996","1815"
"Ashley SPENCER","carrera 400 m con vallas","46092","50674"
"Tamirat TOLA","carrera 10000 m","1608079","1767550"
"Netsanet GUDETA","carrera 10000 m","1609354","1768375"
"Hanna GREEN","carrera 800 m","101928","112020"
"Evaline CHIRCHIR","carrera 21000 m","3481005","3823854"
"Yekaterina STARYGINA","lanzamiento de jabalina","9962","9065"
"Chantel MALONE","salto largo","956","869"
"Bryce HOPPEL","carrera 800 m","102083","112070"
"Edward Zakayo PINGUA","carrera 5000 m","772128","848817"
"Albert CHEMUTAI","carrera 3000 m con vallas","481195","529086"
"Armand DUPLANTIS","salto con pertiga","667","606"
"Seifu TURA","carrera 21000 m","3481150","3829025"
"Birhane DIBABA","carrera 42000 m","7303234","8023527"
"Christine BOTLOGETSWE","carrera 400 m","43471","47791"
"Yomif KEJELCHA","carrera 10000 m","1608123","1768131"
"Alin Alexandru FIRFIRICA","lanzamiento de disco","7905","7187"
"Maksim NEDASEKAU","salto de altura","261","237"
"Ruswahl SAMAAI","salto largo","956","869"
"Claudine VITA","lanzamiento de disco","7905","7189"
"Laura MUIR","carrera 800 m","101895","112043"
"Geoffrey KAMWOROR","carrera 21000 m","3484230","3827647"
"Fernanda MARTINS","lanzamiento de disco","7904","7186"
"Marcin KRUKOWSKI","lanzamiento de jabalina","9968","9064"
"Ronald LEVY","carrera 110 m con vallas","12104","13305"
"Wyclife KINYAMAL","carrera 800 m","101920","111991"
"Marcin LEWANDOWSKI","carrera 800 m","101921","112033"
"Yang CHEN","lanzamiento de disco","7903","7189"
"Mason FINLEY","lanzamiento de disco","7901","7186"
"Anna AVDEYEVA","lanzamiento de bala","2518","2293"
"Dezerea BRYANT","carrera 200 m","19532","21426"
"Leonard LANGAT","carrera 21000 m","3481507","3827462"
"Janieve RUSSELL","carrera 400 m con vallas","46208","50684"
"Joshua CHEPTEGEI","carrera 5000 m","772176","848785"
"Winnie NANYONDO","carrera 1500 m","208805","229610"
"Darya KLISHINA","salto largo","956","869"
"Jakob INGEBRIGTSEN","carrera 1500 m","208949","229578"
"Elijah Motonei MANANGOI","carrera 1500 m","208951","229494"
"Mykhaylo KOKHAN","lanzamiento de martillo","8975","8178"
"Benjamin KIGEN","carrera 3000 m con vallas","481168","528889"
"Stanley Kipkoech KEBENEI","carrera 3000 m con vallas","481207","529060"
"Fred KERLEY","carrera 400 m","43470","47776"
"Lynsey SHARP","carrera 800 m","101904","112022"
"Wesley VÁZQUEZ","carrera 800 m","101895","111997"
"Grant HOLLOWAY","carrera 110 m con vallas","12101","13308"
"Peruth CHEMUTAI","carrera 3000 m con vallas","481272","529080"
"Kc LIGHTFOOT","salto con pertiga","667","606"
"Kate GRACE","carrera 800 m","101901","112079"
"Gabriela DEBUES-STAFFORD","carrera 5000 m","773042","848705"
"Robeilys PEINADO","salto con pertiga","666","606"
"Elvira HERMAN","carrera 110 m con vallas","12105","13305"
"Jianan WANG","salto largo","956","869"
"Lea SPRUNGER","carrera 400 m con vallas","46143","50701"
"Telahun Haile BEKELE","carrera 5000 m","772121","849204"
"Huihui LYU","lanzamiento de jabalina","9959","9063"
"Taoufik MAKHLOUFI","carrera 1500 m","208784","229586"
"Bence HALÁSZ","lanzamiento de martillo","8991","8174"
"Morris Munene GACHAGA","carrera 21000 m","3481732","3827379"
"Nia ALI","carrera 110 m con vallas","12102","13305"
"Yuki HASHIOKA","salto largo","956","869"
"Paraskevi PAPACHRISTOU","salto triple","1996","1814"
"Mirela DEMIREVA","salto de altura","261","237"
"Degitu AZIMERAW","carrera 42000 m","7307624","8030678"
"Devon ALLEN","carrera 110 m con vallas","12105","13304"
"Kendra HARRISON","carrera 110 m con vallas","12100","13308"
"Yasemin CAN","carrera 10000 m","1608516","1768095"
"Katie NAGEOTTE","salto con pertiga","667","606"
"Sage WATSON","carrera 400 m con vallas","46178","50699"
"Akeem BLOOMFIELD","carrera 400 m","43476","47760"
"Joel BADEN","salto de altura","261","237"
"Edward CHESEREK","carrera 5000 m","772938","849067"
"Yanis Esmeralda DAVID","salto largo","956","869"
"Laura WEIGHTMAN","carrera 1500 m","208792","229613"
"Jacko GILL","lanzamiento de bala","2516","2291"
"Mohammed AHMED","carrera 5000 m","772524","847578"
"Faith KIPYEGON","carrera 1500 m","208809","229641"
"Aliona DUBITSKAYA","lanzamiento de bala","2513","2291"
"Dafne SCHIPPERS","carrera 200 m","19501","21444"
"Joseph Paul AMOAH","carrera 200 m","19519","21441"
"Eduardo RODRIGUES","carrera 110 m con vallas","12100","13293"
"Lindsay HANEKOM","carrera 400 m con vallas","46092","50699"
"Chrisann GORDON","carrera 400 m","43467","47791"
"Dina ASHER-SMITH","carrera 200 m","19507","21441"
"Hawi FEYSA","carrera 5000 m","772169","848869"
"Andamlak BELIHU","carrera 10000 m","1608408","1767554"
"Ana ŠIMIĆ","salto de altura","261","237"
"Renaud LAVILLENIE","salto con pertiga","667","606"
"Sam MATTIS","lanzamiento de disco","7905","7190"
"Christian COLEMAN","carrera 100 m","9762","10726"
"Rai BENJAMIN","carrera 400 m","43457","47794"
"Hanna MALYSHIK","lanzamiento de martillo","8992","8181"
"Selemon BAREGA","carrera 5000 m","772111","849153"
"Ernest John OBIENA","salto con pertiga","667","606"
"Laura WEIGHTMAN","carrera 5000 m","772743","848834"
"Courtney FRERICHS","carrera 3000 m con vallas","482244","528970"
"Shanieka RICKETTS","salto triple","1995","1814"
"Aleia HOBBS","carrera 100 m","9760","10736"
"Benard KIMELI","carrera 21000 m","3485931","3826137"
"Konstanze KLOSTERHALFEN","carrera 1500 m","208796","229463"
"Chanel BRISSETT","carrera 110 m con vallas","12107","13303"
"Anna COCKRELL","carrera 110 m con vallas","12098","13301"
"Zharnel HUGHES","carrera 100 m","9766","10734"
"Dafne SCHIPPERS","carrera 100 m","9776","10734"
"Raevyn ROGERS","carrera 800 m","101893","112038"
"Matthew CENTROWITZ","carrera 1500 m","208772","229629"
"Birhane DIBABA","carrera 21000 m","3488790","3828892"
"Isiah YOUNG","carrera 100 m","9769","10728"
"Laviai NIELSEN","carrera 400 m","43466","47793"
"Sharika NELVIS","carrera 110 m con vallas","12129","13304"
"Reece PRESCOD","carrera 100 m","9762","10733"
"Karissa SCHWEIZER","carrera 5000 m","772237","848970"
"Lopez LOMONG","carrera 5000 m","772331","849264"
"Takele NIGATE","carrera 3000 m con vallas","481059","528903"
"Marco AROP","carrera 800 m","101895","112075"
"Matthew CENTROWITZ","carrera 5000 m","772861","849217"
"Mario BURKE","carrera 200 m","19500","21448"
"Workenesh EDESA","carrera 42000 m","7304505","8028679"
"Yasmani COPELLO","carrera 400 m con vallas","46120","50698"
"Anna CHICHEROVA","salto de altura","261","237"
"Yulimar ROJAS","salto triple","1996","1815"
"Nadia EKE","salto triple","1996","1814"
"Daniella HILL","lanzamiento de bala","2518","2291"
"Sydney MCLAUGHLIN","carrera 400 m","43453","47793"
"Ling LI","salto con pertiga","667","606"
"Sophie MCKINNA","lanzamiento de bala","2520","2291"
"Dina ASHER-SMITH","carrera 100 m","9766","10728"
"Nikki HILTZ","carrera 1500 m","208920","229633"
"Daniil TSYPLAKOV","salto de altura","261","237"
"Zeineba YIMER","carrera 10000 m","1610215","1768287"
"Yevgeniy KOROTOVSKIY","lanzamiento de martillo","8987","8176"
"Guye Idemo ADOLA","carrera 42000 m","7306648","8027315"
"Worknesh DEGEFA","carrera 42000 m","7313334","8030444"
"William KINCAID","carrera 5000 m","772143","849211"
"Karoline Bjerkeli GRØVDAL","carrera 5000 m","772375","849135"
"Shamier LITTLE","carrera 400 m con vallas","46113","50699"
"Hilary KPATCHA","salto largo","956","869"
"Kristin GIERISCH","salto triple","1996","1814"
"Jordan Alejandro DÍAZ FORTUN","salto triple","1996","1815"
"Vernon NORWOOD","carrera 400 m","43464","47793"
"Tori BOWIE","salto largo","956","869"
"Pascal MARTINOT-LAGARDE","carrera 110 m con vallas","12119","13308"
"Nicholas Kipkorir KIMELI","carrera 5000 m","772709","849023"
"Almir DOS SANTOS","salto triple","1994","1814"
"Quincy HALL","carrera 400 m con vallas","46127","50664"
"Lopez LOMONG","carrera 10000 m","1608036","1768421"
"Solomon BERIHU","carrera 5000 m","772147","848824"
"Maryna BEKH-ROMANCHUK","salto largo","956","869"
"Maggie EWEN","lanzamiento de martillo","8985","8174"
"Kelsey CARD","lanzamiento de disco","7905","7187"
"Tebogo MAMATHU","carrera 100 m","9763","10735"
"Lina MUZE","lanzamiento de jabalina","9963","9072"
"Anderson PETERS","lanzamiento de jabalina","9966","9061"
"Emily SISSON","carrera 10000 m","1609185","1768556"
"Stephen KIPROP","carrera 21000 m","3481218","3828110"
"Lonah Chemtai SALPETER","carrera 21000 m","3481643","3826972"
"Kyron MCMASTER","carrera 400 m con vallas","46094","50689"
"Joanna FIODOROW","lanzamiento de martillo","8986","8175"
"Ese BRUME","salto largo","956","869"
"Yongli WEI","carrera 100 m","9779","10718"
"Jeff HENDERSON","salto largo","956","869"
"Ana PELETEIRO","salto triple","1996","1814"
"Yelena SOKOLOVA","salto largo","956","869"
"Tyquendo TRACEY","carrera 100 m","9770","10733"
"Mule WASIHUN","carrera 42000 m","7303410","8026576"
"Bohdan BONDARENKO","salto de altura","261","237"
"Johannes VETTER","lanzamiento de jabalina","9967","9063"
"Ayanleh SOULEIMAN","carrera 800 m","101918","112066"
"Evans CHEBET","carrera 42000 m","7313756","8024020"
"Kelsey-Lee BARBER","lanzamiento de jabalina","9963","9066"
"Letesenbet GIDEY","carrera 10000 m","1608326","1768785"
"Gladys CHERONO","carrera 42000 m","7309791","8029220"
"Shaunae MILLER-UIBO","carrera 200 m","19501","21423"
"Mogos TUEMAY","carrera 10000 m","1611081","1768816"
"Celliphine Chepteek CHESPOL","carrera 3000 m con vallas","481266","529006"
"Yu WANG","salto de altura","261","237"
"Janee KASSANAVOID","lanzamiento de martillo","8992","8174"
"Wilbert LONDON","carrera 400 m","43456","47706"
"Lawrence Kemboi KIPSANG","carrera 3000 m con vallas","481452","528660"
"Stefano SOTTILE","salto de altura","261","237"
"Cristian NÁPOLES","salto triple","1996","1814"
"Malaika MIHAMBO","salto largo","956","869"
"Azmera GEBRU","carrera 42000 m","7303562","8030363"
"Konrad BUKOWIECKI","lanzamiento de bala","2521","2292"
"Marike STEINACKER","lanzamiento de disco","7892","7192"
"Vincent KIBET","carrera 1500 m","208853","229496"
"Andrius GUDŽIUS","lanzamiento de disco","7904","7192"
"Karsten WARHOLM","carrera 400 m con vallas","46102","50697"
"Paweł FAJDEK","lanzamiento de martillo","8988","8174"
"Divine ODUDURU","carrera 100 m","9761","10716"
"Mare DIBABA","carrera 42000 m","7302469","8025541"
"Netsanet GUDETA","carrera 21000 m","3482018","3828474"
"Bernhard SEIFERT","lanzamiento de jabalina","9966","9062"
"Alina ROTARU","salto largo","956","870"
"Mikhail AKIMENKO","salto de altura","261","237"
"Kenneth BEDNAREK","carrera 200 m","19514","21444"
"Ronald KWEMOI","carrera 1500 m","209025","229584"
"Shoutarou SHIROYAMA","salto largo","956","869"
"Getaneh MOLLA","carrera 42000 m","7303850","8026049"
"Andreas HOFMANN","lanzamiento de jabalina","9964","9067"
"DeAnna PRICE","lanzamiento de martillo","8987","8176"
"Vashti CUNNINGHAM","salto de altura","261","237"
"Shericka JACKSON","carrera 400 m","43501","47762"
"Olha LYAKHOVA","carrera 800 m","101940","111974"
"Kori CARTER","carrera 400 m con vallas","46117","50694"
"Andwuelle WRIGHT","salto largo","956","869"
"JuVaughn HARRISON","salto largo","956","869"
"Caterine IBARGUEN","salto triple","1995","1814"
"Tissanna HICKLING","salto largo","956","871"
"Lois Maikel MARTÍNEZ","lanzamiento de disco","7902","7187"
"Brigid KOSGEI","carrera 42000 m","7305943","8026138"
"Laura MUIR","carrera 1500 m","209050","229591"
"Ruti AGA","carrera 42000 m","7301667","8030158"
"Mercy WANJIRU","carrera 3000 m con vallas","481184","529071"
"Stephenie Ann MCPHERSON","carrera 400 m","43470","47765"
"Timothy CHERUIYOT","carrera 1500 m","208800","229619"
"Alex QUIÑÓNEZ","carrera 200 m","19514","21446"
"Marcin LEWANDOWSKI","carrera 1500 m","208843","229592"
"Ella JUNNILA","salto de altura","261","237"
"Nikoleta KIRIAKOPOULOU","salto con pertiga","667","606"
"Yekaterina STROKOVA","lanzamiento de disco","7905","7191"
"Kim AMB","lanzamiento de jabalina","9968","9061"
"Julien WANDERS","carrera 21000 m","3483721","3828808"
"Huiqin XU","salto con pertiga","667","606"
"Abdul Hakim SANI BROWN","carrera 100 m","9763","10731"
"Orlando ORTEGA","carrera 110 m con vallas","12109","13304"
"Nikita TRACEY","carrera 400 m con vallas","46153","50617"
"Ludvy VAILLANT","carrera 400 m con vallas","46118","50697"
"Ajee WILSON","carrera 800 m","101983","112078"
"Torben BLECH","salto con pertiga","667","606"
"Tina ŠUTEJ","salto con pertiga","667","606"
"Thobias MONTLER","salto largo","956","869"
"Alyona GORDEYEVA","lanzamiento de bala","2521","2292"
"Elaine THOMPSON","carrera 200 m","19500","21444"
